titulo,autor,genero,calificacion
1984,George Orwell,ficción distópica,5
Rebelión en la granja,George Orwell,ficción distópica,4
It,Stephen King,Ficción Especulativa,4
El resplandor,Stephen King,Ficción Especulativa,5
Cementerio de animales,Stephen King,Ficción Especulativa,3
Asesinato en el Orient Express,Agatha Christie,Ficción Especulativa,2
Diez negritos,Agatha Christie,Ficción Especulativa,1
El asesinato de Roger Ackroyd,Agatha Christie,Ficción Especulativa,4
Estudio en escarlata,Arthur Conan Doyle,Ficción Especulativa,5
El sabueso de los Baskerville,Arthur Conan Doyle,Ficción Especulativa,3
El cuervo,Edgar Allan Poe,Literatura Clásica y Nacional,5
Los crímenes de la calle Morgue,Edgar Allan Poe,Literatura Clásica y Nacional,4
El corazón delator,Edgar Allan Poe,Literatura Clásica y Nacional,4
El psicoanalista,John Katzenbach,Ficción Especulativa,5
La historia del loco,John Katzenbach,Ficción Especulativa,3
Personas desconocidas,John Katzenbach,Ficción Especulativa,2
Hábitos atómicos,James Clear,Misterio y Thriller,1
"Más claro, imposible",James Clear,Misterio y Thriller,4
La vida del cosmos,Carl Sagan,Misterio y Thriller,5
Cosmos,Carl Sagan,Misterio y Thriller,3
Los mejores cuentos,Josefina Plá,No Ficción y Divulgación,5
La poesía no se vende,Josefina Plá,No Ficción y Divulgación,4
Mario Halley Mora y su tiempo,Mario Halley Mora,No Ficción y Divulgación,4
Historia del Paraguay,Mario Halley Mora,No Ficción y Divulgación,5
Joyland,Stephen King,Ficción Especulativa,3
Carrie,Stephen King,Ficción Especulativa,2
Misery,Stephen King,Ficción Especulativa,1
Christine,Stephen King,Ficción Especulativa,4
El ciclo del hombre lobo,Stephen King,Ficción Especulativa,5
Noche eterna,Agatha Christie,Ficción Especulativa,3
La casa torcida,Agatha Christie,Ficción Especulativa,5
Testigo de cargo,Agatha Christie,Ficción Especulativa,4
El archivo de Sherlock Holmes,Arthur Conan Doyle,Ficción Especulativa,4
El signo de los cuatro,Arthur Conan Doyle,Ficción Especulativa,5
Annabel Lee,Edgar Allan Poe,Literatura Clásica y Nacional,3
La caída de la casa Usher,Edgar Allan Poe,Literatura Clásica y Nacional,2
El gato negro,Edgar Allan Poe,Literatura Clásica y Nacional,1
Jaque al psicoanalista,John Katzenbach,Ficción Especulativa,4
Un final perfecto,John Katzenbach,Ficción Especulativa,5
El estudiante,John Katzenbach,Ficción Especulativa,3
Cartas a un joven científico,Carl Sagan,Misterio y Thriller,5
Miles de millones,Carl Sagan,Misterio y Thriller,4
Divulgación y pensamiento,Carl Sagan,Misterio y Thriller,4
Antología poética,Josefina Plá,No Ficción y Divulgación,5
La muralla robada,Josefina Plá,No Ficción y Divulgación,3
Crónica de una nación,Mario Halley Mora,No Ficción y Divulgación,2
El visitante,Stephen King,Ficción Especulativa,1
Doctor Sueño,Stephen King,Ficción Especulativa,4
Billy Summers,Stephen King,Ficción Especulativa,5
El hombre del traje negro,Stephen King,Ficción Especulativa,3
Navidades trágicas,Agatha Christie,Ficción Especulativa,5
Muerte en el Nilo,Agatha Christie,Ficción Especulativa,4
Cita con la muerte,Agatha Christie,Ficción Especulativa,4
Historias del Paraguay profundo,Mario Halley Mora,No Ficción y Divulgación,5
"El paraguayo, ese gran desconocido",Mario Halley Mora,No Ficción y Divulgación,3
Costumbres del interior,Mario Halley Mora,No Ficción y Divulgación,2
Ecos del silencio,Josefina Plá,No Ficción y Divulgación,1
Más allá del tiempo,Carl Sagan,Misterio y Thriller,4
Teoría del todo,Carl Sagan,Misterio y Thriller,5
Mensajes del cosmos,Carl Sagan,Misterio y Thriller,3
Reflejos del alma,Josefina Plá,No Ficción y Divulgación,5
Sombras del pasado,Mario Halley Mora,No Ficción y Divulgación,4
La ruta del jaguar,Mario Halley Mora,No Ficción y Divulgación,4
Viaje a las estrellas,Carl Sagan,Misterio y Thriller,5
En el corazón del Paraguay,Mario Halley Mora,No Ficción y Divulgación,3
Mario Halley Mora y el alma nacional,Mario Halley Mora,No Ficción y Divulgación,2
